task_id,taxonomy_l1,taxonomy_l2,avg_difficulty,difficulty_bucket,n_tool_calls,tools_used,suggested_tools,tool_overlap,wall_time,prompt_tokens,completion_tokens,coverage,evidence_quality,tool_usage,reasoning_quality,completeness,weighted_total,pass,judge_reasoning
PMID:35444662,Cardiovascular Medicine,Cerebrovascular thrombotic disorders,3.33,medium,15,chembl;opentargets;pubmed,chembl;opentargets;pubmed,1.0,147.09,6554,3197,0.75,0.3,0.35,0.85,0.75,0.575,0,"The model produced a well-structured, detailed answer covering inflammatory pathways (IL-6/JAK-STAT, TNF-α/NF-κB, complement/NETs, NLRP3/IL-1β) and biomarkers (D-dimer, CRP, IL-6, S100B/NSE, emerging markers) with useful comparison tables. Reasoning quality is strong, with appropriate uncertainty acknowledgment and clear causal evidence grading. However, critical failures exist: (1) The model claimed tools returned empty results when they clearly returned relevant data (e.g., PMID 42017277 CLOT-"
PMID:24842458,Neuroscience & Psychiatry,Psychiatry,2.67,medium,16,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,143.39,6278,2683,0.0,0.0,0.0,0.0,0.0,0.0,0,"Parse error. Raw: {
    ""scores"": {
        ""coverage"": 0.75,
        ""evidence_quality"": 0.55,
        ""tool_usage"": 0.35,
        ""reasoning_quality"": 0.65,
        ""completeness"": 0.70
    },
    ""reasoning"": ""The model covered the main aspects of the question including HT definition, rationale, Cochrane review findings, and clinical implications. However, it misattributed the Cochrane review (Clatworthy et al. 2013 vs. Liu et al. 2014 in gold standard) and reported the included trial sample "
PMID:39775037,Public Health & Epidemiology,Metabolic Health & Nutrition Interventions,3.67,hard,18,pubmed;uniprot,opentargets;pubmed;uniprot,0.667,129.17,8626,4728,0.92,0.75,0.45,0.9,0.92,0.7655,1,"The model provides excellent coverage of all key pathways identified in the gold answer (circadian realignment, metabolic switching/AMPK, autophagy, SIRT1/SIRT3, gut microbiome, insulin signaling) and adds additional relevant pathways (inflammasome suppression, endothelial function, ketone signaling, hepatic reprogramming). Evidence quality is good—citations reference real, well-known studies by author/year/journal—but lacks PMID specificity and doesn't cite the gold standard's key references. T"
PMID:40254579,Infectious Disease & Immunology,Post-infection Sequelae,4.67,hard,15,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,176.8,5408,4654,0.0,0.0,0.0,0.0,0.0,0.0,0,Parse error. Raw: 
PMID:34881420,Other,Agricultural biotechnology and crop genomics,2.0,easy,18,ncbi_datasets;pubmed,ncbi_datasets;pubmed,1.0,163.68,4776,4688,0.75,0.55,0.35,0.8,0.65,0.6025,1,"The model provides extensive detail on known molecular mechanisms across all four trait categories, covering many key genes from the gold standard (GS3, GW2, Hd1, Ghd7, Hd3a, Xa21, Pi-ta, MOC1, IPA1, SUB1A, SKC1). However, it largely omits the gold standard's emphasis on unsolved questions—heterosis molecular basis, epigenetic regulation, broad-spectrum durable resistance, and the translational gap between gene discovery and field performance. Evidence quality is moderate: the model cites author"
PMID:33559127,Medical AI & Informatics,Medical education and professional development,2.67,medium,13,pubmed,pubmed,1.0,107.94,4600,2035,0.35,0.25,0.25,0.35,0.45,0.32,0,"The model's answer fundamentally mischaracterizes the evidence landscape compared to the gold standard. The gold standard, based on the Cochrane review (PMID 33559127), explicitly states that longitudinal persistence is 'entirely unknown' with NO studies tracking skills beyond the training period. The model instead claims 'mixed evidence' and that skills 'tend to decay,' citing specific studies (Yedidia 2003, Chen 2019, etc.) from training knowledge that contradict the Cochrane review's finding "
PMID:16455584,Infectious Disease & Immunology,Viral Immunology,3.67,hard,12,ncbi_datasets;pubmed,ncbi_datasets;pubmed,1.0,131.62,4089,3126,0.85,0.65,0.45,0.75,0.7,0.6725,1,"The model provided a thorough answer covering most mechanisms from the gold standard (molecular mimicry, bystander activation, epitope spreading) and added additional ones (superantigen, cryptic antigens, Treg loss), but missed viral persistence as a distinct mechanism. Evidence quality is moderate—the model cited real studies (Bjornevik 2022, Lanz 2022) but provided no PMIDs and acknowledged tool failures prevented verification. Tool usage was poor: 12 calls were made, many redundant or overly "
hsa05033,Pharmacology & Drug Discovery,Nicotine Pharmacology,2.67,medium,9,chembl;pubmed;uniprot,chembl;pubmed;uniprot,1.0,91.45,4461,1665,0.7,0.4,0.35,0.65,0.6,0.53,0,"The model covers the main pharmacological concepts (activation, desensitization, key subtypes α4β2 and α7, upregulation, clinical relevance) but misses several gold-standard points: detailed kinetic phases of desensitization (fast vs. slow/deep), the pharmacological chaperone mechanism for upregulation, the paradox that nicotine's steady-state effect may be inhibition, recent cryo-EM structural insights, and unknown/debated aspects. Evidence quality is low—the model claimed databases returned no"
2410.06585v1,Rare & Orphan Diseases,Epidemiology & Natural History,4.0,hard,16,clinicaltrialsgov;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,0.667,102.87,4950,3132,0.85,0.3,0.35,0.85,0.9,0.6225,1,"The model provided a comprehensive, well-organized answer that directly addresses the question about methods for elucidating natural disease course in rare diseases. Coverage is strong (0.85) as it addresses all key points from the gold answer (natural history studies, RWE, Bayesian methods, external controls, heterogeneity challenges) and goes substantially beyond with 10 method categories. Evidence quality is low (0.30) because no specific PMIDs or study citations were provided despite mention"
PMID:22676281,Surgical Sciences,Veterinary Critical Care & Implementation Science,3.33,medium,12,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,114.2,4198,3427,0.75,0.55,0.4,0.75,0.7,0.615,1,"The model provided a well-structured, nuanced answer that covered the main themes: pre-RECOVER baseline data, what RECOVER changed, post-RECOVER evidence gaps, and the uncertainty around survival-to-discharge and neurological outcomes. Coverage is good (0.75) but misses specific details like McIntyre et al. 2014, the CPC scale adaptation, factors associated with improved outcomes, and the ethical impossibility of RCTs with alternative study designs. Evidence quality is moderate (0.55) — the mode"
PMID:40322882,Clinical Medicine,Addiction Medicine / Research Methodology,3.67,hard,14,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,108.25,4268,2804,0.0,0.0,0.0,0.0,0.0,0.0,0,"Parse error. Raw: {
    ""scores"": {
        ""coverage"": 0.80,
        ""evidence_quality"": 0.50,
        ""tool_usage"": 0.60,
        ""reasoning_quality"": 0.75,
        ""completeness"": 0.75
    },
    ""reasoning"": ""The model provided a comprehensive and well-structured answer covering the main topics: attrition scope, reduction strategies (CM, flexible scheduling, run-in periods, incentives), and statistical methods (MI, mixed models, sensitivity analyses). Coverage is good (0.80) but misses the s"
PMID:40944962,Infectious Disease & Immunology,Post-infectious Sequelae,2.67,medium,19,clinicaltrialsgov;openfda;pubmed,clinicaltrialsgov;openfda;pubmed,1.0,175.26,6088,3897,0.88,0.72,0.5,0.82,0.82,0.735,1,"The model provided a comprehensive and well-structured answer covering all five requested domains (prevalence, pathophysiology, risk factors, prognosis, treatments) plus critical appraisal. Coverage is strong (0.88) as it addresses all major points from the gold standard, though it misses some specifics like EDS/hypermobility as a risk factor and the precise 0.02-0.05% prevalence estimate. Evidence quality (0.72) is decent—the model cites real studies (Fraiman, Ogata, Kwan) and correctly identif"
2207.06096v2,Cardiovascular Medicine,Cardiac Signal Analysis and Medical AI,2.67,medium,12,pubmed,pubmed,1.0,123.42,3387,2234,0.0,0.0,0.0,0.0,0.0,0.0,0,"Parse error. Raw: {
    ""scores"": {
        ""coverage"": 0.78,
        ""evidence_quality"": 0.50,
        ""tool_usage"": 0.40,
        ""reasoning_quality"": 0.75,
        ""completeness"": 0.72
    },
    ""reasoning"": ""The model covers most key points from the gold answer: when DL outperforms (>10K samples, complex patterns), when feature engineering is preferable (small datasets, interpretability), hybrid approaches, and transfer learning. However, it misses explicit discussion of the evidence landsc"
PMID:17460161,Clinical Medicine,Aging Biology & Gerontology,4.0,hard,19,pubmed;uniprot,pubmed;uniprot,1.0,189.17,6176,4753,0.85,0.7,0.4,0.85,0.8,0.7,1,"The model provided an impressively detailed and well-organized answer covering all three biomolecule classes (proteins, nucleic acids, lipids), their functional consequences at cellular/tissue/organ levels, and disease-specific pathways for CVD, cancer, and neurodegeneration. The integrative vicious-cycles section and therapeutic implications table go beyond the gold standard. However, several gold-standard elements are missing or underemphasized: the thermodynamic/entropy perspective (Hayflick)"
PMID:28746759,Other,Regulatory Affairs & Bioethics,4.0,hard,14,pubmed,ncbi_datasets;pubmed,0.5,158.02,4187,3929,0.85,0.6,0.45,0.85,0.88,0.7045,1,"The model provided an impressively comprehensive and well-structured answer covering biological, ethical, and regulatory frameworks with detailed comparison tables. Coverage is strong, addressing all three framework categories and key differences from standard GMO regulation, though it misses specific projects like the gastric-brooding frog and passenger pigeon. Evidence quality is moderate: the model cited real, relevant works (Sherkow & Greely 2013, IUCN SSC 2016, Sandler 2014) matching gold-s"
NCT02837588,Surgical Sciences,Gynecology & Pelvic Medicine,2.33,easy,17,clinicaltrialsgov;openfda;pubmed,clinicaltrialsgov;openfda;pubmed,1.0,116.12,6661,2505,0.75,0.5,0.55,0.8,0.7,0.65,1,"The model covers the main aspects of the question including mechanisms of hyperthermy, conventional pharmacotherapy options, evidence limitations, and the key conclusion that superiority cannot be established. However, it misses some specifics from the gold answer: prevalence data (15-20%), central sensitization, the MJS electrode detail (despite finding it in ClinicalTrials.gov), and specific safety concerns about vaginal tissue integrity. Evidence quality is limited because the model couldn't "
NCT07053488,Surgical Sciences,Organ Transplantation,4.33,hard,21,clinicaltrialsgov;pubmed;uniprot,clinicaltrialsgov;pubmed;uniprot,1.0,164.95,8923,4478,0.95,0.8,0.7,0.9,0.9,0.8425,1,"The model provided an exceptionally thorough analysis covering all key aspects from the gold standard and more, including NK cell missing-self responses, tumorigenicity, viral susceptibility, and detailed rejection mechanism analysis. Coverage is excellent (0.95). Evidence quality is good (0.80) — the model cites real, relevant papers (Deuse 2019, Gornalusse 2017, Xu 2019) matching gold-standard citations, but omits Han et al. 2019 and doesn't provide PMIDs. Tool usage was moderate (0.70) — the "
PMID:27493633,Cardiovascular Medicine,Cardiology / Drug Discovery,4.67,hard,23,chembl;opentargets;pubmed,chembl;opentargets;pubmed,1.0,196.18,11270,4150,0.78,0.55,0.38,0.8,0.78,0.637,1,"The model provided a comprehensive and well-structured answer covering most key aspects from the gold standard, including antiviral therapy (IFN-β/TIMIC trial), immunomodulation (anakinra, canakinumab), gap junction modulators (rotigaptide), and anti-fibrotic strategies. However, it missed SGLT2 inhibitors (empagliflozin/dapagliflozin) and colchicine/COLCARD trial explicitly mentioned in the gold standard, and didn't mention danegaptide. Evidence quality is moderate—citations are provided withou"
PMID:28057586,Medical AI & Informatics,Computational Image Analysis,2.67,medium,11,pubmed,pubmed,1.0,97.38,3840,2685,0.85,0.45,0.4,0.85,0.8,0.65,1,"The model provided a comprehensive and well-structured answer covering major algorithm categories (inverse filtering, iterative methods, blind deconvolution, deep learning), practical use-case recommendations, and software ecosystem details. Coverage is strong as it addresses key aspects from the gold standard including RL, RL-TV, Wiener, Tikhonov-Miller, DeconvolutionLab2, and PSF importance. However, evidence quality is significantly hampered—the model made 11 PubMed queries but most returned "
PMID:38429127,Public Health & Epidemiology,"Burn epidemiology, healthcare surveillance",2.33,easy,21,pubmed,ncbi_datasets;pubmed,0.5,220.72,7784,4161,0.75,0.3,0.4,0.65,0.7,0.55,0,"The model provided a broadly comprehensive synthesis covering the absence of a national registry, fragmented data sources, provincial/territorial variation, Indigenous disparities, burn center infrastructure, inter-center outcome variation, and international registry models. However, it missed key specifics from the gold answer: the Bhatt et al. systematic review findings (58% single-center, 31% non-collaborative multi-center, 11% true multi-center), the correct figure of 16 burn centers (model "
PMID:38168993,Pharmacology & Drug Discovery,Drug Mechanisms & Epigenetic Therapeutics,3.67,hard,19,chembl;pubmed;uniprot,chembl;opentargets;pubmed;uniprot,0.75,208.71,7950,4569,0.85,0.25,0.55,0.8,0.75,0.6325,1,"The model provided extensive mechanistic analysis covering all four GENtoniK components and their coordinated integration, exceeding the gold answer in mechanistic depth (especially metabolic-epigenetic coupling). However, critical failures exist: (1) Evidence quality is very low because the model found PMID 38168993 (the source study) in two separate PubMed searches yet claimed it couldn't find primary literature and cited no PMIDs; (2) Tool usage was undermined by finding the key paper but not"
PMID:29797578,Clinical Medicine,Pulmonary rehabilitation,2.67,medium,12,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,153.6,4926,2565,0.7,0.55,0.35,0.6,0.65,0.56,0,"The model covers most key aspects (RMT types, Cochrane review findings, low evidence quality, inconsistent clinical translation) but misses the important CFTR modulator interaction discussed in the gold standard. Evidence quality is moderate: the model cites real studies but misattributes the Enright 2006 reference (appears to be about healthy subjects, not CF), doesn't provide PMIDs, and omits key CFTR modulator citations. Tool usage is poor: the model made 12 calls (many redundant and increasi"
PMID:35449162,Rare & Orphan Diseases,Neuroendocrinology & Diagnostic Medicine,2.67,medium,12,opentargets;pubmed,opentargets;pubmed,1.0,146.55,3470,3531,0.85,0.3,0.45,0.75,0.8,0.6175,1,"The model provided comprehensive coverage of diagnostic criteria, etiology, pathophysiology, and management, exceeding the gold standard in clinical detail (prognosis, specific medications, detailed tables). However, it missed some key points: ROHHAD and Bardet-Biedl as genetic etiologies, the debate on unified vs etiology-specific diagnostic frameworks, and the evidence landscape discussion. Evidence quality is low (0.30) as no specific PMIDs were cited despite one relevant result being found ("
PMID:11264985,Rare & Orphan Diseases,Sitosterolemia,3.33,medium,14,chembl;pubmed;uniprot,chembl;opentargets;pubmed;uniprot,0.75,141.79,5192,3886,0.85,0.65,0.55,0.75,0.75,0.705,1,"The model provided a strong, well-structured answer covering the three-tier selectivity system (NPC1L1, ABCG5/ABCG8, ACAT2) and sitosterolemia pathophysiology in detail. Coverage is strong but misses the Aster/GRAMD1 intracellular trafficking proteins and doesn't discuss unknown aspects highlighted in the gold standard (structural basis for ABCG5/ABCG8 selectivity, genotype-phenotype variability, modifier genes). Evidence quality is moderate—references are mentioned by author/journal but lack sp"
PMID:12557087,Surgical Sciences,Surgical Complications & Biomaterials,3.33,medium,11,opentargets;pubmed,opentargets;pubmed,1.0,89.19,4956,2339,0.85,0.6,0.35,0.8,0.75,0.6525,1,"The model provides strong coverage of key topics including metal hypersensitivity prevalence, Type IV DTH mechanisms, ALVAL histology, patch testing limitations, LTT, and the central causation debate. It misses the specific RANKL/osteoclastogenesis pathway and the inability to distinguish immune-mediated from wear-particle-driven mechanisms. Evidence quality is moderate: the model cites real, relevant papers (Willert 2005, Hallab 2001) but without PMIDs, and critically, it falsely claimed 'searc"
PMID:36891964,Public Health & Epidemiology,Health Equity and Organizational Assessment,2.67,medium,20,pubmed,pubmed,1.0,45.61,6627,624,0.0,0.0,0.25,0.0,0.0,0.0625,0,"The model produced an entirely empty answer despite making 20 PubMed tool calls. While it did locate the key scoping review (PMID 36891964) in search #6, it failed completely to synthesize any findings into a response. Coverage, evidence quality, reasoning quality, and completeness all receive 0.0 because no answer was generated. Tool usage receives a minimal score of 0.25 only because the model eventually found the most critical reference (PMID 36891964) and used appropriate search terminology "
PMID:30039640,Oncology,Hepatocellular Carcinoma,4.33,hard,17,clinicaltrialsgov;pubchem;pubmed;uniprot,clinicaltrialsgov;opentargets;pubchem;pubmed;uniprot,0.8,153.52,9285,3599,0.8,0.65,0.55,0.75,0.7,0.685,1,"The model provided a comprehensive answer covering most key biomarkers (AFP for ramucirumab, WNT/β-catenin, PD-L1 limitations, TMB, ctDNA, immune microenvironment) and exceeded the gold standard in TKI-specific biomarker detail. However, it missed important aspects: Hoshida molecular classification, HIMALAYA/CheckMate-459/COSMIC-312 trial discussions, and the unique challenges of HCC biomarker development (cirrhotic background, biopsy not routine, viral vs metabolic etiology confounders). Eviden"
PMID:38622584,Public Health & Epidemiology,Occupational epidemiology and environmental health,3.33,medium,16,pubmed,ncbi_datasets;pubmed,0.5,178.32,7649,2860,0.75,0.45,0.4,0.65,0.7,0.58,0,"The model covers the core methodological problem well (conflation of workers and residents, exposure gradients, classification challenges) but misses some gold-standard specifics like the 10-20 million worker estimate, ILO/WHO acknowledgment, and false-negative concern. Evidence quality is undermined by the model's inaccurate claim that tools weren't returning results (they were—e.g., PMID 41814032 on e-waste workers was returned but unused), lack of specific PMIDs, and a quantification table (4"
PMID:39250705,Oncology,Supportive/Palliative Care,2.67,medium,13,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,129.06,4251,2438,0.75,0.55,0.4,0.7,0.75,0.615,1,"The model covers most key aspects from the gold standard including mechanism of action (TRPV1), formulations, CIPN evidence limitations, and practical advantages. However, it incorrectly states FDA approval includes diabetic peripheral neuropathy instead of HIV-associated neuropathy, and doesn't explicitly detail the unknown aspects/uncertainties listed in the gold standard. Evidence quality is reduced because no PMIDs are provided, the FDA indication is wrong, and the model claimed 'tools are n"
PMID:38159067,Clinical Medicine,Interstitial Lung Disease,4.0,hard,22,kegg;pubmed;uniprot,kegg;opentargets;pubmed;uniprot,0.75,209.84,10664,4506,0.0,0.0,0.0,0.0,0.0,0.0,0,"Parse error. Raw: {
    ""scores"": {
        ""coverage"": 0.85,
        ""evidence_quality"": 0.50,
        ""tool_usage"": 0.50,
        ""reasoning_quality"": 0.75,
        ""completeness"": 0.80
    },
    ""reasoning"": ""The model provides a detailed, well-organized answer covering all four ILD subtypes with disease-specific mechanisms and a useful comparative table. Coverage is strong (0.85) — it addresses most gold-standard points including autoimmune mechanisms in CTD-ILD, GERD/esophageal dysmotility"
NCT03710915,Oncology,Hematologic Malignancies,3.0,medium,14,chembl;clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;pubmed,1.0,113.34,4043,1360,0.15,0.05,0.35,0.25,0.1,0.1875,0,"The model's most critical failure is claiming 'no results were returned from any database' when ClinicalTrials.gov clearly returned NCT03710915 (a terminated Phase 1 trial of HG146 in Chinese RRMM patients) and NCT04977167 (HG146 in solid tumors/lymphoma) in tool calls #2, #6, and #11. ChEMBL also returned molecule data for HG-146 in tool call #14. The model completely ignored these results, leading to a fundamentally incorrect conclusion. Coverage is very low (0.15) as it missed the terminated "
PMID:35544570,Medical AI & Informatics,Biomedical Engineering & Nanotechnology,4.0,hard,18,pubmed,pubmed,1.0,209.83,7134,4833,0.65,0.55,0.4,0.7,0.65,0.575,0,"The model provided a comprehensive and well-structured answer covering detection, tracking, control, and safety aspects. However, it missed the gold standard's central emphasis on optoacoustic/photoacoustic imaging (particularly MSOT and real-time 3D optoacoustic tracking) as the primary solution for deep-tissue brain vasculature tracking. The model actually retrieved PMID 35544570 (the key paper on real-time 3D optoacoustic tracking in mouse brain) via tool calls but incorrectly claimed all Pub"
PMID:40425830,Public Health & Epidemiology,"Zoonotic spillover surveillance, Ecological disease prevention",4.0,hard,17,clinicaltrialsgov;ncbi_datasets;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,1.0,123.48,6242,3087,0.0,0.0,0.0,0.0,0.0,0.0,0,"Parse error. Raw: {""scores"":{""coverage"":0.55,""evidence_quality"":0.45,""tool_usage"":0.45,""reasoning_quality"":0.55,""completeness"":0.50},""reasoning"":""The model provided a detailed, well-structured answer covering general bat paramyxovirus surveillance and intervention strategies, but missed several key aspects from the gold standard: (1) the specific Neotropical bat morbillivirus context and 2025 study findings (PMID 40425830), (2) receptor tropism compatibility with human nectin-4 and SLAMF1, (3) t"
