task_id,taxonomy_l1,taxonomy_l2,avg_difficulty,difficulty_bucket,n_tool_calls,tools_used,suggested_tools,tool_overlap,wall_time,prompt_tokens,completion_tokens,coverage,evidence_quality,tool_usage,reasoning_quality,completeness,weighted_total,pass,judge_reasoning
1705.02315v5,Clinical Medicine,Radiology,3.67,hard,0,,biomcp;pubmed,0.0,67.34,444,2053,,,,,,,,
hsa04723,Neuroscience & Psychiatry,Synaptic Plasticity,3.67,hard,10,pubmed,kegg;pubmed;uniprot,0.333,613.42,57799,3986,,,,,,,,
PMID:33320308,Infectious Disease & Immunology,Immunoendocrinology & Infection,4.67,hard,15,pubmed,opentargets;pubmed;uniprot,0.333,510.02,65646,4420,,,,,,,,
PMID:29436899,Infectious Disease & Immunology,,4.0,hard,0,,,,62.11,70,3314,,,,,,,,
PMID:36465154,Public Health & Epidemiology,Occupational Health,3.33,medium,3,pubmed,pubmed,1.0,124.04,5478,3353,,,,,,,,
PMID:35534623,Oncology,Resistance Mechanisms & Targeted Therapy,5.0,hard,6,pubmed,chembl;clinicaltrialsgov;opentargets;pubmed;uniprot,0.2,360.28,21393,4599,,,,,,,,
NCT06903923,Clinical Medicine,Pediatric Endocrinology,3.33,medium,8,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,360.27,31508,3657,,,,,,,,
NCT04508530,Neuroscience & Psychiatry,Post-Infectious Neuropsychiatric Disorders,4.0,hard,21,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.5,724.78,89025,3660,,,,,,,,
PMID:34724404,Infectious Disease & Immunology,Monoclonal Antibody Therapeutics,4.0,hard,4,pubmed,chembl;opentargets;pubmed;uniprot,0.25,211.6,8095,3977,,,,,,,,
PMID:37523477,Clinical Medicine,Obstetrics & Gynecology,3.33,medium,0,,clinicaltrialsgov;openfda;pubmed,0.0,24.04,608,4096,,,,,,,,
PMID:33871055,Clinical Medicine,Dermatology,3.0,medium,3,pubmed,clinicaltrialsgov;openfda;pubmed,0.333,235.62,7070,4406,,,,,,,,
2501.04017v1,Rare & Orphan Diseases,Sickle Cell Disease,3.0,medium,3,pubmed,clinicaltrialsgov;pubmed,0.5,278.77,13310,5933,,,,,,,,
PMID:26811699,Pharmacology & Drug Discovery,Perioperative Pain Management,4.0,hard,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,141.8,5280,4937,,,,,,,,
PMID:19298854,Oncology,Therapeutic Drug Discovery & Natural Products,4.67,hard,8,pubmed,chembl;clinicaltrialsgov;pubchem;pubmed;uniprot,0.2,475.56,50674,3941,,,,,,,,
PMID:37857825,Neuroscience & Psychiatry,Neurodegeneration,4.0,hard,12,pubmed,chembl;opentargets;pubmed;uniprot,0.25,334.02,38813,5399,,,,,,,,
PMID:26040994,Genomics & Precision Medicine,Rare & Orphan Genetic Diseases,4.0,hard,7,ncbi_datasets;pubmed;uniprot,ncbi_datasets;opentargets;pubmed;uniprot,0.75,199.67,12070,6681,,,,,,,,
PMID:38733922,Pharmacology & Drug Discovery,Geriatric Pharmacology,3.0,medium,8,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;openfda;pubmed,0.5,284.53,20345,3383,,,,,,,,
PMID:32060896,Genomics & Precision Medicine,Cellular & Membrane Biology,3.0,medium,3,pubmed;uniprot,chembl;kegg;pubchem;pubmed;uniprot,0.4,150.18,6246,3622,,,,,,,,
NCT02604706,Clinical Medicine,Addiction Medicine & Integrative Medicine,2.67,medium,9,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,284.52,25718,4069,,,,,,,,
PMID:36707729,Pharmacology & Drug Discovery,Pharmacogenomics Implementation Science,3.33,medium,4,chembl;openfda;pubmed,chembl;openfda;opentargets;pubmed,0.75,150.17,15337,4560,,,,,,,,
PMID:27493633,Cardiovascular Medicine,Cardiology / Drug Discovery,4.67,hard,3,pubmed,chembl;opentargets;pubmed,0.333,93.51,5224,4202,,,,,,,,
PMID:29678496,Infectious Disease & Immunology,Virology & Vaccinology,3.67,hard,3,ncbi_datasets;pubmed,ncbi_datasets;opentargets;pubmed,0.667,134.35,5391,3552,,,,,,,,
PMID:39258519,Clinical Medicine,Nephrology,3.0,medium,0,,clinicaltrialsgov;pubmed,0.0,48.34,473,972,,,,,,,,
NCT05652179,Surgical Sciences,"Cardiac Surgery, Perioperative Organ Protection",3.67,hard,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,134.34,5046,3749,,,,,,,,
PMID:30659311,Infectious Disease & Immunology,Antimicrobial Stewardship & Treatment Optimization,3.67,hard,18,pubmed,clinicaltrialsgov;pubmed,0.5,358.8,98416,4226,,,,,,,,
NCT04130243,Cardiovascular Medicine,Congenital Heart Disease,3.33,medium,0,,clinicaltrialsgov;opentargets;pubmed,0.0,92.75,606,2785,,,,,,,,
B6A8C7,Infectious Disease & Immunology,Adaptive Immunity,3.67,hard,6,pubmed;uniprot,kegg;opentargets;pubmed;uniprot,0.5,232.14,17733,2498,,,,,,,,
2403.15405v3,Medical AI & Informatics,"Neuroimaging Analysis, Pipeline Methodology",3.67,hard,2,pubmed,ncbi_datasets;pubmed,0.5,120.52,3942,3491,,,,,,,,
PMID:32274757,Neuroscience & Psychiatry,Neurodegeneration,4.67,hard,4,pubmed,opentargets;pubmed,0.5,150.58,11537,4139,,,,,,,,
PMID:32712962,Surgical Sciences,Periodontal Surgery,3.0,medium,0,,pubmed,0.0,49.23,365,4096,,,,,,,,
PMID:37284928,Surgical Sciences,Anesthesiology,3.0,medium,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,117.01,6276,4652,,,,,,,,
PMID:33142986,Pharmacology & Drug Discovery,Radiation medicine & drug development,3.67,hard,0,,chembl;clinicaltrialsgov;openfda;pubmed,0.0,37.32,750,2922,,,,,,,,
PMID:32882245,Surgical Sciences,Health Coding & Reimbursement,2.0,easy,5,pubmed,pubmed,1.0,188.29,15724,3721,,,,,,,,
P04198,Oncology,Cancer surveillance and prevention,2.33,easy,3,opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,115.1,7407,4629,,,,,,,,
PMID:40644549,Neuroscience & Psychiatry,Synaptic Biology,4.0,hard,17,pubmed,kegg;pubmed;uniprot,0.333,327.35,91512,3023,,,,,,,,
PMID:27027952,Genomics & Precision Medicine,Epigenomics,3.67,hard,4,pubmed,ncbi_datasets;pubmed,0.5,107.54,7145,4704,,,,,,,,
NCT03971097,Neuroscience & Psychiatry,Addiction medicine and behavioral interventions,3.33,medium,5,pubmed,pubmed,1.0,175.22,17631,3313,,,,,,,,
PMID:40611398,Rare & Orphan Diseases,Lysosomal storage diseases,4.0,hard,10,pubmed;uniprot,chembl;ncbi_datasets;opentargets;pubmed;uniprot,0.4,154.19,30605,4790,,,,,,,,
PMID:39121857,Neuroscience & Psychiatry,Neuroimmunology,4.0,hard,0,,opentargets;pubmed,0.0,41.66,506,4096,,,,,,,,
PMID:41184638,Neuroscience & Psychiatry,Neurodegeneration & Alzheimer's Disease,3.67,hard,4,pubmed;uniprot,opentargets;pubmed;uniprot,0.667,67.93,5671,3709,,,,,,,,
PMID:39070897,Medical AI & Informatics,Digital Health Equity,3.33,medium,5,biomcp;pubmed,biomcp;pubmed,1.0,104.16,13126,4116,,,,,,,,
NCT05909098,Oncology,Non-Hodgkin Lymphoma Immunotherapy,3.67,hard,10,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,354.72,61597,2137,,,,,,,,
PMID:22676281,Surgical Sciences,Veterinary Critical Care & Implementation Science,3.33,medium,9,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,179.74,29422,4154,,,,,,,,
PMID:28710848,Infectious Disease & Immunology,Mycobacterial Infections & TB Immunology,4.33,hard,3,pubmed,kegg;ncbi_datasets;opentargets;pubmed;uniprot,0.2,146.96,18519,3732,,,,,,,,
NCT03988790,Clinical Medicine,"Pulmonology, Biomarker Discovery",3.33,medium,10,clinicaltrialsgov;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,0.667,261.75,98949,2092,,,,,,,,
PMID:38579683,Neuroscience & Psychiatry,Neurodegeneration,4.0,hard,3,pubmed,opentargets;pubmed;uniprot,0.333,152.61,14681,5274,,,,,,,,
PMID:33780647,Neuroscience & Psychiatry,Addiction Medicine; Psychopharmacology,4.0,hard,0,,chembl;opentargets;pubmed;uniprot,0.0,33.06,754,3569,,,,,,,,
PMID:31012954,Public Health & Epidemiology,Healthcare workforce and systems,2.67,medium,4,pubmed,clinicaltrialsgov;pubmed,0.5,110.24,11327,3485,,,,,,,,
PMID:36004796,Public Health & Epidemiology,Implementation Science & Hospital Quality,3.67,hard,8,pubmed,pubmed,1.0,356.87,73106,5283,,,,,,,,
PMID:39556335,Neuroscience & Psychiatry,Genetic Epilepsy,3.67,hard,10,pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,0.333,356.84,63674,2446,,,,,,,,
PMID:36949522,Clinical Medicine,Eating Disorder Treatment,4.0,hard,2,pubmed,clinicaltrialsgov;opentargets;pubmed,0.333,77.35,11272,3585,,,,,,,,
PMID:39624081,Oncology,Cancer Biology & Metabolism,4.0,hard,10,pubmed,chembl;opentargets;pubmed,0.333,192.17,22785,4955,,,,,,,,
PMID:32649576,Pharmacology & Drug Discovery,Cardiovascular Pharmacology; Drug-Drug Interactions,4.0,hard,4,pubmed,chembl;openfda;pubmed,0.333,133.43,20747,3371,,,,,,,,
PMID:40087523,Cardiovascular Medicine,Developmental & Metabolic Cardiology,4.0,hard,6,kegg;pubmed;uniprot,kegg;ncbi_datasets;opentargets;pubmed;uniprot,0.6,135.13,13729,5201,,,,,,,,
PMID:37407818,Oncology,Targeted Therapeutics & Drug Development,4.0,hard,6,chembl;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.5,207.65,38521,3411,,,,,,,,
NCT03935594,Surgical Sciences,Burn injury management and scar prevention,3.67,hard,0,,clinicaltrialsgov;pubmed,0.0,49.22,483,2338,,,,,,,,
PMID:3324702,Genomics & Precision Medicine,Evolutionary Genetics,3.0,medium,0,,biomcp;pubmed,0.0,44.82,463,2506,,,,,,,,
PMID:31431710,Oncology,Pediatric Oncology,4.33,hard,7,pubmed,opentargets;pubmed;uniprot,0.333,195.56,22061,2947,,,,,,,,
PMID:41000472,Clinical Medicine,Rheumatology,4.0,hard,3,kegg;pubmed,clinicaltrialsgov;pubmed,0.5,63.84,5792,4707,,,,,,,,
PMID:35726097,Neuroscience & Psychiatry,Neurovascular Biology & BBB Function,3.67,hard,2,pubmed,kegg;opentargets;pubmed;uniprot,0.25,123.91,5299,3957,,,,,,,,
PMID:38060191,Cardiovascular Medicine,Heart Failure Biomarkers,3.67,hard,24,pubmed,clinicaltrialsgov;pubmed,0.5,304.91,69536,2328,,,,,,,,
PMID:36357681,Neuroscience & Psychiatry,Cognitive Aging & Alzheimer's Disease,4.33,hard,16,pubmed,clinicaltrialsgov;opentargets;pubmed,0.333,421.81,115199,8382,,,,,,,,
PMID:40464151,Medical AI & Informatics,Machine Learning for EEG & Neurophysiology,3.33,medium,4,pubmed,biomcp;ncbi_datasets;pubmed,0.333,99.68,7316,3877,,,,,,,,
PMID:38159067,Clinical Medicine,Interstitial Lung Disease,4.0,hard,24,pubmed,kegg;opentargets;pubmed;uniprot,0.25,348.54,77475,3128,,,,,,,,
PMID:30572739,Clinical Medicine,Endocrine Disorder Management,3.33,medium,6,pubmed,chembl;clinicaltrialsgov;opentargets;pubchem;pubmed,0.2,237.31,36253,3685,,,,,,,,
PMID:24102271,Oncology,Hematological Malignancies & Stem Cell Therapy,5.0,hard,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,71.64,6106,3820,,,,,,,,
PMID:19553813,Neuroscience & Psychiatry,Neurodegeneration & Movement Disorders,4.0,hard,0,,ncbi_datasets;pubmed,0.0,26.59,492,4096,,,,,,,,
PMID:28166685,Infectious Disease & Immunology,Autoimmunity and B Cell Biology,3.67,hard,1,pubmed,pubmed,1.0,100.85,3419,4321,,,,,,,,
PMID:32003705,Neuroscience & Psychiatry,"Neurodegeneration, Neuroinflammation",4.0,hard,10,kegg;pubmed,chembl;kegg;ncbi_datasets;opentargets;pubmed,0.4,321.55,58366,1277,,,,,,,,
PMID:27693548,Neuroscience & Psychiatry,Neurodegeneration & Precision Medicine,4.33,hard,0,,clinicaltrialsgov;opentargets;pubmed;uniprot,0.0,37.14,727,2975,,,,,,,,
PMID:38656686,Oncology,Tumor Evolution and Heterogeneity,4.33,hard,3,pubmed,ncbi_datasets;opentargets;pubmed,0.333,108.84,5664,3695,,,,,,,,
PMID:28211341,Medical AI & Informatics,Diagnostics,4.0,hard,6,pubmed,clinicaltrialsgov;opentargets;pubmed,0.333,165.66,16252,3308,,,,,,,,
PMID:37541186,Genomics & Precision Medicine,Diagnostic Algorithms & Testing Strategy,3.67,hard,9,pubmed,ncbi_datasets;opentargets;pubmed,0.333,284.41,35018,5023,,,,,,,,
PMID:30277568,Surgical Sciences,Periodontal Surgery,2.67,medium,1,pubmed,pubmed,1.0,104.76,2796,2108,,,,,,,,
PMID:18646115,Neuroscience & Psychiatry,Schizophrenia & Drug Development,4.33,hard,3,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed;uniprot,0.4,108.82,6099,3358,,,,,,,,
PMID:31500113,Neuroscience & Psychiatry,Neurodegeneration,4.33,hard,0,,clinicaltrialsgov;ncbi_datasets;opentargets;pubmed;uniprot,0.0,45.11,856,3420,,,,,,,,
2502.03938v1,Genomics & Precision Medicine,"Genomic Foundation Models, Causal Inference",4.33,hard,0,,biomcp;ncbi_datasets;opentargets;pubmed,0.0,60.89,685,4096,,,,,,,,
PMID:30880916,Oncology,Chronic Myeloid Leukemia,4.67,hard,0,,opentargets;pubmed;uniprot,0.0,56.83,632,2840,,,,,,,,
PMID:30540575,Clinical Medicine,Transplant Nephrology,3.67,hard,12,pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.25,225.98,35675,3954,,,,,,,,
PMID:25725245,Clinical Medicine,Nephrology,4.33,hard,3,ncbi_datasets;pubmed,ncbi_datasets;opentargets;pubmed,0.667,101.43,6115,3822,,,,,,,,
PMID:34693994,Clinical Medicine,Gastroenterology,3.33,medium,4,pubmed,clinicaltrialsgov;pubmed,0.5,97.25,6473,3851,,,,,,,,
PMID:39550175,Cardiovascular Medicine,Mechanical Circulatory Support,4.67,hard,4,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,118.75,6112,4511,,,,,,,,
PMID:32145185,Infectious Disease & Immunology,Diagnostic Technologies,3.0,medium,0,,biomcp;clinicaltrialsgov;ncbi_datasets;openfda;pubmed,0.0,50.98,801,2492,,,,,,,,
PMID:33374338,Neuroscience & Psychiatry,Neuroprotection,3.67,hard,10,pubmed,chembl;pubchem;pubmed;uniprot,0.25,169.15,24290,6178,,,,,,,,
PMID:40742400,Clinical Medicine,Pediatric Allergy & Immunology,2.67,medium,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubchem;pubmed,0.5,118.74,6226,3912,,,,,,,,
PMID:34995762,Clinical Medicine,Autoimmune & Dermatological Diseases,4.0,hard,10,pubmed,chembl;opentargets;pubmed;uniprot,0.25,437.76,75807,1480,,,,,,,,
Q8NFG4,Oncology,Familial Cancer Syndromes,4.0,hard,9,ncbi_datasets;opentargets;pubmed;uniprot,ncbi_datasets;opentargets;pubmed;uniprot,1.0,307.46,26978,4769,,,,,,,,
PMID:37414304,Cardiovascular Medicine,Vascular biology and atherogenesis,4.0,hard,0,,opentargets;pubchem;pubmed,0.0,67.75,653,3209,,,,,,,,
PMID:10353294,Pharmacology & Drug Discovery,Antihypertensive Therapeutics & Nephroprotection,3.67,hard,10,pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.25,306.85,27852,4659,,,,,,,,
PMID:39488768,Infectious Disease & Immunology,Allergic and immune-mediated diseases,2.67,medium,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,92.16,4943,3955,,,,,,,,
NCT04668846,Clinical Medicine,Dermatology; Diagnostic Methods,3.67,hard,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,90.45,5693,3759,,,,,,,,
2402.17317v2,Medical AI & Informatics,Adversarial robustness in medical imaging,5.0,hard,5,pubmed,pubmed,1.0,204.95,20329,5266,,,,,,,,
PMID:29876867,Clinical Medicine,Obesity & Metabolic Syndrome,4.0,hard,6,pubmed,chembl;clinicaltrialsgov;pubchem;pubmed;uniprot,0.2,414.74,50198,4522,,,,,,,,
PMID:39348691,Infectious Disease & Immunology,COVID-19 Therapeutics,4.0,hard,5,clinicaltrialsgov;pubmed,clinicaltrialsgov;openfda;pubmed,0.667,120.99,15544,4922,,,,,,,,
PMID:30291906,Neuroscience & Psychiatry,Neuroinflammation,4.0,hard,20,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed;uniprot,0.5,414.18,80017,5597,,,,,,,,
NCT04153682,Infectious Disease & Immunology,Antimicrobial Resistance,3.67,hard,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,0.667,81.53,5024,3118,,,,,,,,
activities_prioritizing-diseases-for-research-and-development-in-emergency-contexts,Public Health & Epidemiology,Antimicrobial Resistance and Pandemic Preparedness,4.33,hard,0,,ncbi_datasets;opentargets;pubmed,0.0,41.77,599,3063,,,,,,,,
PMID:26438269,Pharmacology & Drug Discovery,Drug Development and Clinical Translation,3.33,medium,7,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;pubchem;pubmed,0.5,316.15,20323,4321,,,,,,,,
Q99497,Neuroscience & Psychiatry,Neurodegenerative Diseases,4.0,hard,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,147.54,6051,4592,,,,,,,,
PMID:39930168,Clinical Medicine,Ophthalmology & Retinal Diseases,3.33,medium,6,pubmed,kegg;ncbi_datasets;opentargets;pubmed;uniprot,0.2,322.59,16222,3696,,,,,,,,
PMID:33782623,Oncology,Glioblastoma Biology,3.67,hard,2,pubmed,opentargets;pubmed,0.5,147.52,5095,4626,,,,,,,,
PMID:25912581,Genomics & Precision Medicine,Lysosomal Storage Diseases,4.0,hard,4,kegg;pubmed,kegg;ncbi_datasets;opentargets;pubmed;uniprot,0.4,233.51,6990,3698,,,,,,,,
PMID:21988214,Clinical Medicine,Rheumatology & Spondyloarthropathy,3.0,medium,10,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.5,441.21,28179,5159,,,,,,,,
PMID:21674822,Surgical Sciences,Tissue Engineering & Regenerative Medicine,4.67,hard,4,ncbi_datasets;pubmed,chembl;ncbi_datasets;opentargets;pubchem;pubmed,0.4,175.04,6540,4459,,,,,,,,
PMID:20425278,Neuroscience & Psychiatry,Psychiatric Disorders & Movement Disorders,3.0,medium,12,pubmed,clinicaltrialsgov;pubmed,0.5,482.76,84059,1293,,,,,,,,
PMID:27323655,Clinical Medicine,Nephrology & Kidney Disease,2.67,medium,2,pubmed,clinicaltrialsgov;pubmed,0.5,175.03,5364,3372,,,,,,,,
PMID:26592954,Surgical Sciences,Pediatric surgery and trial design,3.0,medium,0,,clinicaltrialsgov;pubmed,0.0,126.84,501,2633,,,,,,,,
PMID:18664969,Pharmacology & Drug Discovery,Obstetric Pharmacotherapy and Drug Safety,2.67,medium,12,pubmed,clinicaltrialsgov;openfda;pubmed,0.333,438.05,54829,1877,,,,,,,,
PMID:36283946,Clinical Medicine,Urology,3.33,medium,7,pubmed,pubmed,1.0,315.82,16612,4448,,,,,,,,
PMID:23474420,Public Health & Epidemiology,Microbiome Science,3.67,hard,5,pubmed,ncbi_datasets;pubmed,0.5,415.73,20934,3824,,,,,,,,
PMID:38010498,Neuroscience & Psychiatry,Neurobiochemistry & Neuropathology,4.0,hard,24,pubmed,chembl;pubmed;uniprot,0.333,415.84,85458,4375,,,,,,,,
PMID:33625036,Neuroscience & Psychiatry,Neurological Diagnostics & Neuroimaging,3.67,hard,10,pubmed,ncbi_datasets;opentargets;pubmed,0.333,523.55,66507,1462,,,,,,,,
NCT03918850,Clinical Medicine,Addiction Medicine & Maternal-Fetal Medicine,3.67,hard,15,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;openfda;pubmed;uniprot,0.4,544.24,124884,4146,,,,,,,,
1607.04039v1,Neuroscience & Psychiatry,Clinical trial design & methodology,3.67,hard,12,pubmed,pubmed,1.0,425.99,50394,1906,,,,,,,,
PMID:40335884,Oncology,Hematologic Malignancies,4.0,hard,26,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed;uniprot,0.4,512.43,115591,10072,,,,,,,,
PMID:41135523,Clinical Medicine,Functional GI Disorders,4.33,hard,15,chembl;clinicaltrialsgov;opentargets;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,1.0,396.41,62167,5126,,,,,,,,
PMID:20724852,Rare & Orphan Diseases,Hereditary Corneal Dystrophies,3.33,medium,20,pubmed,chembl;clinicaltrialsgov;pubmed;uniprot,0.25,524.85,133946,2192,,,,,,,,
PMID:16235404,Neuroscience & Psychiatry,Psychiatry,2.67,medium,5,pubmed,clinicaltrialsgov;pubmed,0.5,313.56,14114,2949,,,,,,,,
NCT02870218,Pharmacology & Drug Discovery,Addiction neurobiology and pharmacogenomics,4.67,hard,3,pubmed,chembl;ncbi_datasets;pubmed,0.333,105.0,6474,3726,,,,,,,,
PMID:37324632,Cardiovascular Medicine,"Right ventricular assessment, cardiac diagnosis",3.33,medium,3,pubmed,pubmed,1.0,104.5,5547,3583,,,,,,,,
PMID:41027242,Rare & Orphan Diseases,Bone & Mineral Metabolism Disorders,4.0,hard,3,pubmed,opentargets;pubmed;uniprot,0.333,112.72,7582,2974,,,,,,,,
PMID:8726279,Clinical Medicine,Gastroenterology,3.67,hard,0,,chembl;opentargets;pubmed,0.0,28.89,610,2849,,,,,,,,
PMID:36765164,Other,Cell Biology & Molecular Transport,3.33,medium,11,pubmed,ncbi_datasets;pubmed;uniprot,0.333,144.42,25286,4471,,,,,,,,
PMID:28689331,Clinical Medicine,Obstetrics & Maternal Medicine,3.33,medium,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,62.42,4765,4126,,,,,,,,
NCT00640991,Cardiovascular Medicine,Acute Coronary Syndromes,3.0,medium,6,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,100.31,16024,4614,,,,,,,,
PMID:36464877,Infectious Disease & Immunology,Viral infections and long-term post-infection sequelae,3.0,medium,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,78.7,5155,3998,,,,,,,,
PMID:37338236,Clinical Medicine,Pediatrics & Neonatology,3.0,medium,0,,clinicaltrialsgov;pubmed,0.0,33.53,482,2233,,,,,,,,
PMID:10676070,Oncology,Cancer Treatment Toxicity,3.67,hard,10,pubmed,ncbi_datasets;pubmed,0.5,366.22,65129,1617,,,,,,,,
NCT07053488,Surgical Sciences,Organ Transplantation,4.33,hard,27,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed;uniprot,0.667,460.65,124002,4521,,,,,,,,
PMID:38272305,Neuroscience & Psychiatry,Neurotrauma and Neuroprotection,4.67,hard,5,pubmed,chembl;opentargets;pubchem;pubmed;uniprot,0.2,120.03,17811,5443,,,,,,,,
PMID:36352432,Cardiovascular Medicine,Sex Differences in Cardiac Physiology,4.0,hard,9,kegg;pubmed;uniport;uniprot,kegg;opentargets;pubmed;uniprot,0.75,120.01,16220,5216,,,,,,,,
1506.01863v1,Medical AI & Informatics,Computational Proteomics,2.67,medium,3,pubmed,chembl;pubmed;uniprot,0.333,72.94,6207,3378,,,,,,,,
PMID:30846383,Other,Veterinary Neurology & Comparative Medicine,2.33,easy,6,pubmed,pubmed,1.0,246.6,22190,3098,,,,,,,,
2009.09087v1,Infectious Disease & Immunology,Lyme Borreliosis,4.0,hard,10,pubmed,clinicaltrialsgov;openfda;pubmed,0.333,290.32,89979,1526,,,,,,,,
PMID:20091556,Clinical Medicine,Psychiatry & Behavioral Health,3.0,medium,3,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,140.47,5761,3887,,,,,,,,
PMID:33098194,Cardiovascular Medicine,Atherosclerosis & Lipid Metabolism,3.67,hard,9,pubmed,chembl;kegg;opentargets;pubchem;pubmed;uniprot,0.167,272.93,42407,3162,,,,,,,,
PMID:29554350,Oncology,Breast Cancer,3.33,medium,20,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,392.92,174335,3787,,,,,,,,
PMID:37382948,Oncology,Breast Cancer,3.33,medium,10,pubmed,clinicaltrialsgov;opentargets;pubmed,0.333,414.07,64780,3354,,,,,,,,
PMID:24607040,Infectious Disease & Immunology,Allergen Immunotherapy,3.67,hard,2,pubmed,clinicaltrialsgov;pubmed,0.5,136.38,5535,4731,,,,,,,,
PMID:37592831,Clinical Medicine,Periodontology & Oral Regenerative Medicine,3.67,hard,30,pubmed,chembl;kegg;pubchem;pubmed,0.25,315.28,91099,4050,,,,,,,,
PMID:37885505,Clinical Medicine,Hepatology; Diagnostic Pathology,3.0,medium,30,pubmed,clinicaltrialsgov;pubmed,0.5,443.9,146288,3600,,,,,,,,
PMID:37031496,Oncology,Cancer Biology & Drug Resistance,4.0,hard,8,pubmed,chembl;opentargets;pubmed;uniprot,0.25,242.66,20258,4706,,,,,,,,
