task_id,taxonomy_l1,taxonomy_l2,avg_difficulty,difficulty_bucket,n_tool_calls,tools_used,suggested_tools,tool_overlap,wall_time,prompt_tokens,completion_tokens,coverage,evidence_quality,tool_usage,reasoning_quality,completeness,weighted_total,pass,judge_reasoning
PMID:37284928,Surgical Sciences,Anesthesiology,3.0,medium,21,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,367.12,85050,3374,,,,,,,,
PMID:33142986,Pharmacology & Drug Discovery,Radiation medicine & drug development,3.67,hard,19,clinicaltrialsgov;openfda;pubmed,chembl;clinicaltrialsgov;openfda;pubmed,0.75,309.03,99679,3967,,,,,,,,
PMID:32882245,Surgical Sciences,Health Coding & Reimbursement,2.0,easy,21,pubmed,pubmed,1.0,429.36,110804,1831,,,,,,,,
P04198,Oncology,Cancer surveillance and prevention,2.33,easy,23,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,447.33,154990,2190,,,,,,,,
PMID:40644549,Neuroscience & Psychiatry,Synaptic Biology,4.0,hard,21,kegg;pubmed;uniprot,kegg;pubmed;uniprot,1.0,348.55,114223,2064,,,,,,,,
PMID:27027952,Genomics & Precision Medicine,Epigenomics,3.67,hard,7,pubmed,ncbi_datasets;pubmed,0.5,141.2,29799,2717,,,,,,,,
NCT03971097,Neuroscience & Psychiatry,Addiction medicine and behavioral interventions,3.33,medium,11,pubmed,pubmed,1.0,282.97,62912,2608,,,,,,,,
PMID:40611398,Rare & Orphan Diseases,Lysosomal storage diseases,4.0,hard,11,pubmed;uniprot,chembl;ncbi_datasets;opentargets;pubmed;uniprot,0.4,299.36,37681,3861,,,,,,,,
PMID:39121857,Neuroscience & Psychiatry,Neuroimmunology,4.0,hard,11,pubmed,opentargets;pubmed,0.5,282.96,42708,2783,,,,,,,,
PMID:41184638,Neuroscience & Psychiatry,Neurodegeneration & Alzheimer's Disease,3.67,hard,16,pubmed,opentargets;pubmed;uniprot,0.333,363.91,100711,3462,,,,,,,,
PMID:39070897,Medical AI & Informatics,Digital Health Equity,3.33,medium,21,biomcp;pubmed,biomcp;pubmed,1.0,446.31,123073,1841,,,,,,,,
NCT05909098,Oncology,Non-Hodgkin Lymphoma Immunotherapy,3.67,hard,13,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,260.36,78351,3028,,,,,,,,
PMID:22676281,Surgical Sciences,Veterinary Critical Care & Implementation Science,3.33,medium,20,pubmed,clinicaltrialsgov;pubmed,0.5,382.42,105207,1899,,,,,,,,
PMID:28710848,Infectious Disease & Immunology,Mycobacterial Infections & TB Immunology,4.33,hard,12,kegg;pubmed;uniprot,kegg;ncbi_datasets;opentargets;pubmed;uniprot,0.6,214.31,73611,4003,,,,,,,,
NCT03988790,Clinical Medicine,"Pulmonology, Biomarker Discovery",3.33,medium,19,clinicaltrialsgov;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,0.667,357.06,105510,2699,,,,,,,,
PMID:38579683,Neuroscience & Psychiatry,Neurodegeneration,4.0,hard,12,pubmed,opentargets;pubmed;uniprot,0.333,275.38,73459,4767,,,,,,,,
PMID:33780647,Neuroscience & Psychiatry,Addiction Medicine; Psychopharmacology,4.0,hard,14,chembl;pubmed;uniprot,chembl;opentargets;pubmed;uniprot,0.75,229.79,105688,969,,,,,,,,
PMID:31012954,Public Health & Epidemiology,Healthcare workforce and systems,2.67,medium,10,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,229.57,77667,2358,,,,,,,,
PMID:36004796,Public Health & Epidemiology,Implementation Science & Hospital Quality,3.67,hard,18,pubmed,pubmed,1.0,416.44,145922,3490,,,,,,,,
PMID:39556335,Neuroscience & Psychiatry,Genetic Epilepsy,3.67,hard,11,clinicaltrialsgov;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,0.667,243.93,51632,2648,,,,,,,,
PMID:36949522,Clinical Medicine,Eating Disorder Treatment,4.0,hard,23,pubmed,clinicaltrialsgov;opentargets;pubmed,0.333,326.6,89326,4916,,,,,,,,
PMID:39624081,Oncology,Cancer Biology & Metabolism,4.0,hard,11,chembl;opentargets;pubmed,chembl;opentargets;pubmed,1.0,192.85,63858,3337,,,,,,,,
PMID:32649576,Pharmacology & Drug Discovery,Cardiovascular Pharmacology; Drug-Drug Interactions,4.0,hard,16,pubmed,chembl;openfda;pubmed,0.333,333.61,80180,2994,,,,,,,,
PMID:40087523,Cardiovascular Medicine,Developmental & Metabolic Cardiology,4.0,hard,16,kegg;pubmed;uniprot,kegg;ncbi_datasets;opentargets;pubmed;uniprot,0.6,371.94,125322,1453,,,,,,,,
PMID:37407818,Oncology,Targeted Therapeutics & Drug Development,4.0,hard,12,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.5,238.15,56251,2343,,,,,,,,
NCT03935594,Surgical Sciences,Burn injury management and scar prevention,3.67,hard,17,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,273.5,80429,3316,,,,,,,,
PMID:3324702,Genomics & Precision Medicine,Evolutionary Genetics,3.0,medium,11,biomcp;pubmed,biomcp;pubmed,1.0,226.4,58846,2415,,,,,,,,
PMID:31431710,Oncology,Pediatric Oncology,4.33,hard,12,pubmed,opentargets;pubmed;uniprot,0.333,189.18,58413,984,,,,,,,,
PMID:41000472,Clinical Medicine,Rheumatology,4.0,hard,17,pubmed,clinicaltrialsgov;pubmed,0.5,363.81,135899,4896,,,,,,,,
PMID:35726097,Neuroscience & Psychiatry,Neurovascular Biology & BBB Function,3.67,hard,15,kegg;pubmed;uniprot,kegg;opentargets;pubmed;uniprot,0.75,269.99,74328,4093,,,,,,,,
PMID:38060191,Cardiovascular Medicine,Heart Failure Biomarkers,3.67,hard,13,pubmed,clinicaltrialsgov;pubmed,0.5,222.99,66953,874,,,,,,,,
PMID:36357681,Neuroscience & Psychiatry,Cognitive Aging & Alzheimer's Disease,4.33,hard,13,pubmed,clinicaltrialsgov;opentargets;pubmed,0.333,269.94,88732,2429,,,,,,,,
PMID:40464151,Medical AI & Informatics,Machine Learning for EEG & Neurophysiology,3.33,medium,11,pubmed,biomcp;ncbi_datasets;pubmed,0.333,219.08,57270,3416,,,,,,,,
PMID:38159067,Clinical Medicine,Interstitial Lung Disease,4.0,hard,18,pubmed,kegg;opentargets;pubmed;uniprot,0.25,335.03,131768,1724,,,,,,,,
PMID:30572739,Clinical Medicine,Endocrine Disorder Management,3.33,medium,13,clinicaltrialsgov;pubchem;pubmed,chembl;clinicaltrialsgov;opentargets;pubchem;pubmed,0.6,216.34,68145,2959,,,,,,,,
PMID:24102271,Oncology,Hematological Malignancies & Stem Cell Therapy,5.0,hard,15,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,338.29,179552,1456,,,,,,,,
PMID:19553813,Neuroscience & Psychiatry,Neurodegeneration & Movement Disorders,4.0,hard,8,pubmed,ncbi_datasets;pubmed,0.5,222.15,42927,2737,,,,,,,,
PMID:28166685,Infectious Disease & Immunology,Autoimmunity and B Cell Biology,3.67,hard,10,pubmed,pubmed,1.0,260.13,62505,3978,,,,,,,,
PMID:32003705,Neuroscience & Psychiatry,"Neurodegeneration, Neuroinflammation",4.0,hard,17,pubmed,chembl;kegg;ncbi_datasets;opentargets;pubmed,0.2,251.44,82326,1257,,,,,,,,
PMID:27693548,Neuroscience & Psychiatry,Neurodegeneration & Precision Medicine,4.33,hard,15,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed;uniprot,0.75,297.28,78485,4360,,,,,,,,
PMID:38656686,Oncology,Tumor Evolution and Heterogeneity,4.33,hard,10,pubmed,ncbi_datasets;opentargets;pubmed,0.333,251.15,70207,3573,,,,,,,,
PMID:28211341,Medical AI & Informatics,Diagnostics,4.0,hard,13,pubmed,clinicaltrialsgov;opentargets;pubmed,0.333,249.03,88529,3926,,,,,,,,
PMID:37541186,Genomics & Precision Medicine,Diagnostic Algorithms & Testing Strategy,3.67,hard,13,pubmed,ncbi_datasets;opentargets;pubmed,0.333,255.42,100403,4891,,,,,,,,
PMID:30277568,Surgical Sciences,Periodontal Surgery,2.67,medium,6,pubmed,pubmed,1.0,158.76,31734,1906,,,,,,,,
PMID:18646115,Neuroscience & Psychiatry,Schizophrenia & Drug Development,4.33,hard,17,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed;uniprot,0.4,351.45,87382,2412,,,,,,,,
PMID:31500113,Neuroscience & Psychiatry,Neurodegeneration,4.33,hard,16,clinicaltrialsgov;pubmed,clinicaltrialsgov;ncbi_datasets;opentargets;pubmed;uniprot,0.4,266.38,91666,1276,,,,,,,,
2502.03938v1,Genomics & Precision Medicine,"Genomic Foundation Models, Causal Inference",4.33,hard,24,pubmed,biomcp;ncbi_datasets;opentargets;pubmed,0.25,350.65,114434,2238,,,,,,,,
PMID:30880916,Oncology,Chronic Myeloid Leukemia,4.67,hard,20,pubmed,opentargets;pubmed;uniprot,0.333,345.23,110920,3771,,,,,,,,
PMID:30540575,Clinical Medicine,Transplant Nephrology,3.67,hard,17,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.5,310.34,111759,4103,,,,,,,,
PMID:25725245,Clinical Medicine,Nephrology,4.33,hard,8,pubmed,ncbi_datasets;opentargets;pubmed,0.333,195.29,63351,2129,,,,,,,,
PMID:34693994,Clinical Medicine,Gastroenterology,3.33,medium,11,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,235.5,30528,2839,,,,,,,,
PMID:39550175,Cardiovascular Medicine,Mechanical Circulatory Support,4.67,hard,13,pubmed,clinicaltrialsgov;pubmed,0.5,275.43,74485,3881,,,,,,,,
PMID:32145185,Infectious Disease & Immunology,Diagnostic Technologies,3.0,medium,21,biomcp;pubmed,biomcp;clinicaltrialsgov;ncbi_datasets;openfda;pubmed,0.4,361.94,142073,3556,,,,,,,,
PMID:33374338,Neuroscience & Psychiatry,Neuroprotection,3.67,hard,12,pubmed,chembl;pubchem;pubmed;uniprot,0.25,242.58,72206,4232,,,,,,,,
PMID:40742400,Clinical Medicine,Pediatric Allergy & Immunology,2.67,medium,16,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubchem;pubmed,0.5,307.29,81084,4194,,,,,,,,
PMID:34995762,Clinical Medicine,Autoimmune & Dermatological Diseases,4.0,hard,13,pubmed,chembl;opentargets;pubmed;uniprot,0.25,300.81,88169,4168,,,,,,,,
Q8NFG4,Oncology,Familial Cancer Syndromes,4.0,hard,18,ncbi_datasets;opentargets;pubmed;uniprot,ncbi_datasets;opentargets;pubmed;uniprot,1.0,374.31,130529,1744,,,,,,,,
PMID:37414304,Cardiovascular Medicine,Vascular biology and atherogenesis,4.0,hard,11,pubmed,opentargets;pubchem;pubmed,0.333,251.79,81230,4182,,,,,,,,
PMID:10353294,Pharmacology & Drug Discovery,Antihypertensive Therapeutics & Nephroprotection,3.67,hard,14,pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.25,254.64,84931,1281,,,,,,,,
PMID:39488768,Infectious Disease & Immunology,Allergic and immune-mediated diseases,2.67,medium,21,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,326.29,114789,3349,,,,,,,,
NCT04668846,Clinical Medicine,Dermatology; Diagnostic Methods,3.67,hard,19,pubmed,clinicaltrialsgov;opentargets;pubmed,0.333,286.35,86405,3641,,,,,,,,
2402.17317v2,Medical AI & Informatics,Adversarial robustness in medical imaging,5.0,hard,8,pubmed,pubmed,1.0,214.39,34854,2114,,,,,,,,
PMID:29876867,Clinical Medicine,Obesity & Metabolic Syndrome,4.0,hard,10,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;pubchem;pubmed;uniprot,0.4,214.54,48127,3323,,,,,,,,
PMID:39348691,Infectious Disease & Immunology,COVID-19 Therapeutics,4.0,hard,17,pubmed,clinicaltrialsgov;openfda;pubmed,0.333,334.94,84691,1548,,,,,,,,
PMID:30291906,Neuroscience & Psychiatry,Neuroinflammation,4.0,hard,14,pubmed,clinicaltrialsgov;opentargets;pubmed;uniprot,0.25,215.03,69777,1098,,,,,,,,
NCT04153682,Infectious Disease & Immunology,Antimicrobial Resistance,3.67,hard,10,clinicaltrialsgov;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,0.667,171.64,52063,2967,,,,,,,,
activities_prioritizing-diseases-for-research-and-development-in-emergency-contexts,Public Health & Epidemiology,Antimicrobial Resistance and Pandemic Preparedness,4.33,hard,10,opentargets;pubmed,ncbi_datasets;opentargets;pubmed,0.667,205.62,40559,2191,,,,,,,,
PMID:26438269,Pharmacology & Drug Discovery,Drug Development and Clinical Translation,3.33,medium,13,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;pubchem;pubmed,0.5,267.98,71232,3068,,,,,,,,
Q99497,Neuroscience & Psychiatry,Neurodegenerative Diseases,4.0,hard,18,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,366.04,134886,1476,,,,,,,,
PMID:39930168,Clinical Medicine,Ophthalmology & Retinal Diseases,3.33,medium,8,pubmed,kegg;ncbi_datasets;opentargets;pubmed;uniprot,0.2,183.09,36775,2181,,,,,,,,
PMID:33782623,Oncology,Glioblastoma Biology,3.67,hard,12,pubmed,opentargets;pubmed,0.5,322.87,71239,3996,,,,,,,,
PMID:25912581,Genomics & Precision Medicine,Lysosomal Storage Diseases,4.0,hard,20,kegg;pubmed;uniprot,kegg;ncbi_datasets;opentargets;pubmed;uniprot,0.6,392.8,147045,4949,,,,,,,,
PMID:21988214,Clinical Medicine,Rheumatology & Spondyloarthropathy,3.0,medium,17,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.5,324.93,137078,3909,,,,,,,,
PMID:21674822,Surgical Sciences,Tissue Engineering & Regenerative Medicine,4.67,hard,12,pubmed,chembl;ncbi_datasets;opentargets;pubchem;pubmed,0.2,269.04,72364,3021,,,,,,,,
PMID:20425278,Neuroscience & Psychiatry,Psychiatric Disorders & Movement Disorders,3.0,medium,10,pubmed,clinicaltrialsgov;pubmed,0.5,287.39,46101,3211,,,,,,,,
PMID:27323655,Clinical Medicine,Nephrology & Kidney Disease,2.67,medium,11,pubmed,clinicaltrialsgov;pubmed,0.5,251.22,71432,1978,,,,,,,,
PMID:26592954,Surgical Sciences,Pediatric surgery and trial design,3.0,medium,12,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,251.21,45551,2096,,,,,,,,
PMID:18664969,Pharmacology & Drug Discovery,Obstetric Pharmacotherapy and Drug Safety,2.67,medium,18,clinicaltrialsgov;openfda;pubmed,clinicaltrialsgov;openfda;pubmed,1.0,359.73,123464,1727,,,,,,,,
PMID:36283946,Clinical Medicine,Urology,3.33,medium,7,pubmed,pubmed,1.0,139.95,13829,3006,,,,,,,,
PMID:23474420,Public Health & Epidemiology,Microbiome Science,3.67,hard,10,pubmed,ncbi_datasets;pubmed,0.5,208.38,41355,3005,,,,,,,,
PMID:38010498,Neuroscience & Psychiatry,Neurobiochemistry & Neuropathology,4.0,hard,19,pubmed,chembl;pubmed;uniprot,0.333,291.09,114302,3932,,,,,,,,
PMID:33625036,Neuroscience & Psychiatry,Neurological Diagnostics & Neuroimaging,3.67,hard,12,pubmed,ncbi_datasets;opentargets;pubmed,0.333,211.99,82993,2601,,,,,,,,
NCT03918850,Clinical Medicine,Addiction Medicine & Maternal-Fetal Medicine,3.67,hard,17,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;openfda;pubmed;uniprot,0.4,303.37,93946,3351,,,,,,,,
1607.04039v1,Neuroscience & Psychiatry,Clinical trial design & methodology,3.67,hard,12,pubmed,pubmed,1.0,267.3,68690,3821,,,,,,,,
PMID:40335884,Oncology,Hematologic Malignancies,4.0,hard,12,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed;uniprot,0.4,234.25,73574,3098,,,,,,,,
PMID:41135523,Clinical Medicine,Functional GI Disorders,4.33,hard,14,pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.25,193.03,67794,1072,,,,,,,,
PMID:20724852,Rare & Orphan Diseases,Hereditary Corneal Dystrophies,3.33,medium,14,pubmed,chembl;clinicaltrialsgov;pubmed;uniprot,0.25,303.35,95672,4278,,,,,,,,
PMID:16235404,Neuroscience & Psychiatry,Psychiatry,2.67,medium,8,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,151.12,41629,1695,,,,,,,,
NCT02870218,Pharmacology & Drug Discovery,Addiction neurobiology and pharmacogenomics,4.67,hard,10,pubmed,chembl;ncbi_datasets;pubmed,0.333,197.57,73057,3700,,,,,,,,
PMID:37324632,Cardiovascular Medicine,"Right ventricular assessment, cardiac diagnosis",3.33,medium,16,pubmed,pubmed,1.0,284.17,121220,1439,,,,,,,,
PMID:41027242,Rare & Orphan Diseases,Bone & Mineral Metabolism Disorders,4.0,hard,11,pubmed,opentargets;pubmed;uniprot,0.333,198.81,86059,3099,,,,,,,,
PMID:8726279,Clinical Medicine,Gastroenterology,3.67,hard,9,pubmed,chembl;opentargets;pubmed,0.333,194.83,49525,3322,,,,,,,,
PMID:36765164,Other,Cell Biology & Molecular Transport,3.33,medium,16,pubmed,ncbi_datasets;pubmed;uniprot,0.333,370.44,130016,5648,,,,,,,,
PMID:28689331,Clinical Medicine,Obstetrics & Maternal Medicine,3.33,medium,14,pubmed,clinicaltrialsgov;pubmed,0.5,316.45,92376,5075,,,,,,,,
NCT00640991,Cardiovascular Medicine,Acute Coronary Syndromes,3.0,medium,16,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,244.69,86952,1211,,,,,,,,
PMID:36464877,Infectious Disease & Immunology,Viral infections and long-term post-infection sequelae,3.0,medium,16,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,244.26,62439,3204,,,,,,,,
PMID:37338236,Clinical Medicine,Pediatrics & Neonatology,3.0,medium,12,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,233.34,49781,2023,,,,,,,,
PMID:10676070,Oncology,Cancer Treatment Toxicity,3.67,hard,20,pubmed,ncbi_datasets;pubmed,0.5,365.56,151083,1780,,,,,,,,
NCT07053488,Surgical Sciences,Organ Transplantation,4.33,hard,14,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed;uniprot,0.667,239.28,82905,3394,,,,,,,,
PMID:38272305,Neuroscience & Psychiatry,Neurotrauma and Neuroprotection,4.67,hard,21,pubmed,chembl;opentargets;pubchem;pubmed;uniprot,0.2,333.65,119239,1807,,,,,,,,
PMID:36352432,Cardiovascular Medicine,Sex Differences in Cardiac Physiology,4.0,hard,14,kegg;pubmed;uniprot,kegg;opentargets;pubmed;uniprot,0.75,277.35,74999,4172,,,,,,,,
1506.01863v1,Medical AI & Informatics,Computational Proteomics,2.67,medium,8,pubmed,chembl;pubmed;uniprot,0.333,164.22,27566,1764,,,,,,,,
PMID:30846383,Other,Veterinary Neurology & Comparative Medicine,2.33,easy,6,pubmed,pubmed,1.0,164.22,23835,1716,,,,,,,,
2009.09087v1,Infectious Disease & Immunology,Lyme Borreliosis,4.0,hard,11,clinicaltrialsgov;pubmed,clinicaltrialsgov;openfda;pubmed,0.667,228.11,65282,4009,,,,,,,,
PMID:20091556,Clinical Medicine,Psychiatry & Behavioral Health,3.0,medium,13,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,147.02,63366,2378,,,,,,,,
PMID:33098194,Cardiovascular Medicine,Atherosclerosis & Lipid Metabolism,3.67,hard,11,pubmed,chembl;kegg;opentargets;pubchem;pubmed;uniprot,0.167,190.61,64494,2844,,,,,,,,
PMID:29554350,Oncology,Breast Cancer,3.33,medium,22,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,341.98,147290,1869,,,,,,,,
