task_id,taxonomy_l1,taxonomy_l2,avg_difficulty,difficulty_bucket,n_tool_calls,tools_used,suggested_tools,tool_overlap,wall_time,prompt_tokens,completion_tokens,coverage,evidence_quality,tool_usage,reasoning_quality,completeness,weighted_total,pass,judge_reasoning
PMID:19553813,Neuroscience & Psychiatry,Neurodegeneration & Movement Disorders,4.0,hard,9,pubmed,ncbi_datasets;pubmed,0.5,153.6,3146,2456,,,,,,,,
PMID:28166685,Infectious Disease & Immunology,Autoimmunity and B Cell Biology,3.67,hard,11,pubmed,pubmed,1.0,320.9,3774,3351,,,,,,,,
PMID:32003705,Neuroscience & Psychiatry,"Neurodegeneration, Neuroinflammation",4.0,hard,16,chembl;kegg;ncbi_datasets;pubmed,chembl;kegg;ncbi_datasets;opentargets;pubmed,0.8,418.98,7055,4545,,,,,,,,
PMID:27693548,Neuroscience & Psychiatry,Neurodegeneration & Precision Medicine,4.33,hard,14,clinicaltrialsgov;opentargets;pubmed;uniprot,clinicaltrialsgov;opentargets;pubmed;uniprot,1.0,446.41,5737,3260,,,,,,,,
PMID:38656686,Oncology,Tumor Evolution and Heterogeneity,4.33,hard,17,ncbi_datasets;opentargets;pubmed,ncbi_datasets;opentargets;pubmed,1.0,606.77,8854,3516,,,,,,,,
PMID:28211341,Medical AI & Informatics,Diagnostics,4.0,hard,15,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,516.72,6149,3626,,,,,,,,
PMID:37541186,Genomics & Precision Medicine,Diagnostic Algorithms & Testing Strategy,3.67,hard,13,pubmed,ncbi_datasets;opentargets;pubmed,0.333,577.27,7005,4491,,,,,,,,
PMID:30277568,Surgical Sciences,Periodontal Surgery,2.67,medium,12,pubmed,pubmed,1.0,450.95,3605,2554,,,,,,,,
PMID:18646115,Neuroscience & Psychiatry,Schizophrenia & Drug Development,4.33,hard,12,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed;uniprot,0.4,437.57,9546,509,,,,,,,,
PMID:31500113,Neuroscience & Psychiatry,Neurodegeneration,4.33,hard,26,clinicaltrialsgov;ncbi_datasets;opentargets;pubmed;uniprot,clinicaltrialsgov;ncbi_datasets;opentargets;pubmed;uniprot,1.0,428.8,10534,4558,,,,,,,,
2502.03938v1,Genomics & Precision Medicine,"Genomic Foundation Models, Causal Inference",4.33,hard,16,biomcp;ncbi_datasets;pubmed,biomcp;ncbi_datasets;opentargets;pubmed,0.75,351.3,6862,2855,,,,,,,,
PMID:30880916,Oncology,Chronic Myeloid Leukemia,4.67,hard,14,pubmed;uniprot,opentargets;pubmed;uniprot,0.667,436.25,6264,3055,,,,,,,,
PMID:30540575,Clinical Medicine,Transplant Nephrology,3.67,hard,28,chembl;clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,0.75,510.79,11609,3503,,,,,,,,
PMID:25725245,Clinical Medicine,Nephrology,4.33,hard,8,pubmed,ncbi_datasets;opentargets;pubmed,0.333,262.4,3396,2323,,,,,,,,
PMID:34693994,Clinical Medicine,Gastroenterology,3.33,medium,13,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,296.77,4527,2814,,,,,,,,
PMID:39550175,Cardiovascular Medicine,Mechanical Circulatory Support,4.67,hard,12,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,285.56,3511,3631,,,,,,,,
PMID:32145185,Infectious Disease & Immunology,Diagnostic Technologies,3.0,medium,12,biomcp;clinicaltrialsgov;openfda;pubmed,biomcp;clinicaltrialsgov;ncbi_datasets;openfda;pubmed,0.8,232.63,5751,2652,,,,,,,,
PMID:33374338,Neuroscience & Psychiatry,Neuroprotection,3.67,hard,22,chembl;pubchem;pubmed;uniprot,chembl;pubchem;pubmed;uniprot,1.0,373.79,7976,4862,,,,,,,,
PMID:40742400,Clinical Medicine,Pediatric Allergy & Immunology,2.67,medium,20,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubchem;pubmed,0.5,433.16,7623,4258,,,,,,,,
PMID:34995762,Clinical Medicine,Autoimmune & Dermatological Diseases,4.0,hard,14,chembl;pubmed;uniprot,chembl;opentargets;pubmed;uniprot,0.75,353.16,6066,3889,,,,,,,,
Q8NFG4,Oncology,Familial Cancer Syndromes,4.0,hard,14,ncbi_datasets;opentargets;pubmed;uniprot,ncbi_datasets;opentargets;pubmed;uniprot,1.0,379.75,5652,2975,,,,,,,,
PMID:37414304,Cardiovascular Medicine,Vascular biology and atherogenesis,4.0,hard,17,opentargets;pubchem;pubmed,opentargets;pubchem;pubmed,1.0,484.45,7462,4843,,,,,,,,
PMID:10353294,Pharmacology & Drug Discovery,Antihypertensive Therapeutics & Nephroprotection,3.67,hard,17,chembl;clinicaltrialsgov;opentargets;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,1.0,541.51,8951,3700,,,,,,,,
PMID:39488768,Infectious Disease & Immunology,Allergic and immune-mediated diseases,2.67,medium,14,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,390.03,4250,2622,,,,,,,,
NCT04668846,Clinical Medicine,Dermatology; Diagnostic Methods,3.67,hard,14,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,324.05,6033,2222,,,,,,,,
2402.17317v2,Medical AI & Informatics,Adversarial robustness in medical imaging,5.0,hard,13,pubmed,pubmed,1.0,326.41,3477,3327,,,,,,,,
PMID:29876867,Clinical Medicine,Obesity & Metabolic Syndrome,4.0,hard,18,clinicaltrialsgov;pubmed,chembl;clinicaltrialsgov;pubchem;pubmed;uniprot,0.4,461.68,9269,3704,,,,,,,,
PMID:39348691,Infectious Disease & Immunology,COVID-19 Therapeutics,4.0,hard,18,clinicaltrialsgov;openfda;pubmed,clinicaltrialsgov;openfda;pubmed,1.0,423.77,5774,3908,,,,,,,,
PMID:30291906,Neuroscience & Psychiatry,Neuroinflammation,4.0,hard,20,clinicaltrialsgov;opentargets;pubmed;uniprot,clinicaltrialsgov;opentargets;pubmed;uniprot,1.0,369.47,7904,3342,,,,,,,,
NCT04153682,Infectious Disease & Immunology,Antimicrobial Resistance,3.67,hard,13,clinicaltrialsgov;pubmed,clinicaltrialsgov;ncbi_datasets;pubmed,0.667,311.29,4839,2674,,,,,,,,
activities_prioritizing-diseases-for-research-and-development-in-emergency-contexts,Public Health & Epidemiology,Antimicrobial Resistance and Pandemic Preparedness,4.33,hard,16,ncbi_datasets;opentargets;pubmed,ncbi_datasets;opentargets;pubmed,1.0,380.39,6043,3166,,,,,,,,
PMID:26438269,Pharmacology & Drug Discovery,Drug Development and Clinical Translation,3.33,medium,18,chembl;clinicaltrialsgov;pubchem;pubmed,chembl;clinicaltrialsgov;pubchem;pubmed,1.0,435.46,6992,2881,,,,,,,,
Q99497,Neuroscience & Psychiatry,Neurodegenerative Diseases,4.0,hard,14,clinicaltrialsgov;opentargets;pubmed,clinicaltrialsgov;opentargets;pubmed,1.0,259.43,5211,3094,,,,,,,,
PMID:39930168,Clinical Medicine,Ophthalmology & Retinal Diseases,3.33,medium,16,kegg;ncbi_datasets;pubmed;uniprot,kegg;ncbi_datasets;opentargets;pubmed;uniprot,0.8,380.74,7900,2632,,,,,,,,
PMID:33782623,Oncology,Glioblastoma Biology,3.67,hard,15,opentargets;pubmed,opentargets;pubmed,1.0,452.58,6467,3737,,,,,,,,
PMID:25912581,Genomics & Precision Medicine,Lysosomal Storage Diseases,4.0,hard,16,kegg;ncbi_datasets;opentargets;pubmed;uniprot,kegg;ncbi_datasets;opentargets;pubmed;uniprot,1.0,368.66,7234,4741,,,,,,,,
PMID:21988214,Clinical Medicine,Rheumatology & Spondyloarthropathy,3.0,medium,14,chembl;clinicaltrialsgov;opentargets;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,1.0,316.94,6016,2174,,,,,,,,
PMID:21674822,Surgical Sciences,Tissue Engineering & Regenerative Medicine,4.67,hard,16,chembl;ncbi_datasets;pubmed,chembl;ncbi_datasets;opentargets;pubchem;pubmed,0.6,391.63,7634,3784,,,,,,,,
PMID:20425278,Neuroscience & Psychiatry,Psychiatric Disorders & Movement Disorders,3.0,medium,12,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,317.3,4271,3289,,,,,,,,
PMID:27323655,Clinical Medicine,Nephrology & Kidney Disease,2.67,medium,13,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,353.7,4522,2683,,,,,,,,
PMID:26592954,Surgical Sciences,Pediatric surgery and trial design,3.0,medium,16,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,434.21,6691,2267,,,,,,,,
PMID:18664969,Pharmacology & Drug Discovery,Obstetric Pharmacotherapy and Drug Safety,2.67,medium,12,clinicaltrialsgov;openfda;pubmed,clinicaltrialsgov;openfda;pubmed,1.0,259.12,3960,2346,,,,,,,,
PMID:36283946,Clinical Medicine,Urology,3.33,medium,12,pubmed,pubmed,1.0,295.53,3929,2969,,,,,,,,
PMID:23474420,Public Health & Epidemiology,Microbiome Science,3.67,hard,14,pubmed,ncbi_datasets;pubmed,0.5,370.55,5098,3241,,,,,,,,
PMID:38010498,Neuroscience & Psychiatry,Neurobiochemistry & Neuropathology,4.0,hard,16,chembl;pubmed;uniprot,chembl;pubmed;uniprot,1.0,426.86,6039,3891,,,,,,,,
PMID:33625036,Neuroscience & Psychiatry,Neurological Diagnostics & Neuroimaging,3.67,hard,12,pubmed,ncbi_datasets;opentargets;pubmed,0.333,376.04,5447,2652,,,,,,,,
NCT03918850,Clinical Medicine,Addiction Medicine & Maternal-Fetal Medicine,3.67,hard,15,chembl;clinicaltrialsgov;openfda;pubmed;uniprot,chembl;clinicaltrialsgov;openfda;pubmed;uniprot,1.0,372.96,6562,2908,,,,,,,,
1607.04039v1,Neuroscience & Psychiatry,Clinical trial design & methodology,3.67,hard,15,pubmed,pubmed,1.0,587.19,5692,3353,,,,,,,,
PMID:40335884,Oncology,Hematologic Malignancies,4.0,hard,15,chembl;clinicaltrialsgov;pubmed;uniprot,chembl;clinicaltrialsgov;opentargets;pubmed;uniprot,0.8,503.28,7746,3360,,,,,,,,
PMID:41135523,Clinical Medicine,Functional GI Disorders,4.33,hard,26,chembl;clinicaltrialsgov;opentargets;pubmed,chembl;clinicaltrialsgov;opentargets;pubmed,1.0,628.55,11743,4147,,,,,,,,
PMID:20724852,Rare & Orphan Diseases,Hereditary Corneal Dystrophies,3.33,medium,17,clinicaltrialsgov;pubmed;uniprot,chembl;clinicaltrialsgov;pubmed;uniprot,0.75,503.27,8855,2727,,,,,,,,
PMID:16235404,Neuroscience & Psychiatry,Psychiatry,2.67,medium,9,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,403.48,3797,1954,,,,,,,,
NCT02870218,Pharmacology & Drug Discovery,Addiction neurobiology and pharmacogenomics,4.67,hard,15,pubmed,chembl;ncbi_datasets;pubmed,0.333,506.11,6794,2480,,,,,,,,
PMID:37324632,Cardiovascular Medicine,"Right ventricular assessment, cardiac diagnosis",3.33,medium,15,pubmed,pubmed,1.0,592.14,5657,3927,,,,,,,,
PMID:41027242,Rare & Orphan Diseases,Bone & Mineral Metabolism Disorders,4.0,hard,13,pubmed;uniprot,opentargets;pubmed;uniprot,0.667,423.13,5177,3182,,,,,,,,
PMID:8726279,Clinical Medicine,Gastroenterology,3.67,hard,10,chembl;opentargets;pubmed,chembl;opentargets;pubmed,1.0,350.91,3584,2819,,,,,,,,
PMID:36765164,Other,Cell Biology & Molecular Transport,3.33,medium,16,ncbi_datasets;pubmed;uniprot,ncbi_datasets;pubmed;uniprot,1.0,459.95,6305,4733,,,,,,,,
PMID:28689331,Clinical Medicine,Obstetrics & Maternal Medicine,3.33,medium,11,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,339.51,3391,4561,,,,,,,,
NCT00640991,Cardiovascular Medicine,Acute Coronary Syndromes,3.0,medium,10,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,339.49,4002,2306,,,,,,,,
PMID:36464877,Infectious Disease & Immunology,Viral infections and long-term post-infection sequelae,3.0,medium,14,clinicaltrialsgov;pubmed,clinicaltrialsgov;opentargets;pubmed,0.667,312.89,5213,3120,,,,,,,,
PMID:37338236,Clinical Medicine,Pediatrics & Neonatology,3.0,medium,10,clinicaltrialsgov;pubmed,clinicaltrialsgov;pubmed,1.0,375.77,3802,2339,,,,,,,,
PMID:10676070,Oncology,Cancer Treatment Toxicity,3.67,hard,15,pubmed,ncbi_datasets;pubmed,0.5,475.33,6671,3082,,,,,,,,
NCT07053488,Surgical Sciences,Organ Transplantation,4.33,hard,23,clinicaltrialsgov;pubmed;uniprot,clinicaltrialsgov;pubmed;uniprot,1.0,512.07,9148,5042,,,,,,,,
